festival_id,canonical_name,refined_summary,top_keywords,regions,rituals,page
kongali_bihu_048,Kongali Bihu,Kongali Bihu is observed during a lean agricultural period in Assam. Lamps are lit in fields and homes to pray for a good harvest.,kongali;lean;patience;kongali bihu;bihu observed,Assam,lighting lamps;puja,
bhogali_bihu_049,Bhogali Bihu,"Bhogali Bihu marks the end of the harvesting season in Assam. It is celebrated with feasts, bonfires, and community gatherings.",bhogali;feasts;bhogali bihu;bihu marks;end harvesting,Assam,bonfire rituals;feast,
ambubachi_mela_050,Ambubachi Mela,Ambubachi Mela is held at the Kamakhya Temple in Assam and is associated with the annual cycle of nature. The festival draws devotees who believe it symbolizes fertility and renewal.,ambubachi;kamakhya;annual;draws;believe,Assam;Guwahati,pilgrimage;temple rituals,
baishagu_051,Baishagu,Baishagu is a spring festival celebrated by the Bodo community of Assam. It marks the beginning of the New Year and the agricultural cycle.,baishagu;bodo;baishagu spring;spring festival;celebrated bodo,Assam,community celebrations;folk dances;puja,
chhath_puja_052,Chhath Puja,"Chhath Puja is an ancient Hindu festival devoted to Surya, the Sun God. Devotees observe strict rituals, fasting, and offer prayers near water bodies.",devoted;surya;strict;puja ancient;ancient hindu,Bihar;Jharkhand;Uttar Pradesh,fasting;puja;river offerings,
bihula_053,Bihula,"Bihula is a folk festival associated with the worship of Goddess Manasa in Assam and neighboring regions. It reflects local legends, devotion, and traditional storytelling practices.",bihula;manasa;legends;storytelling;practices,Assam,folk rituals;story enactments,
bastar_dussehra_054,Bastar Dussehra,"Bastar Dussehra is a unique tribal festival celebrated in Chhattisgarh. Unlike the traditional Dussehra, it is dedicated to local deities and tribal customs.",dussehra;tribal;bastar;unlike;bastar dussehra,Bastar;Chhattisgarh,processions;tribal rituals,
phagun_madai_055,Phagun Madai,Phagun Madai is a traveling festival celebrated by tribal communities of Chhattisgarh. It includes worship of local deities and cultural performances.,phagun;madai;traveling;villages;phagun madai,Chhattisgarh,dance performances;puja,
goa_carnival_056,Carnival (Goa),"The Goa Carnival is a lively festival marked by parades, music, dance, and colorful costumes. It reflects Portuguese cultural influence.",goa;carnival;lively;parades;costumes,Goa,music and dance;street parades,
international_kite_festival_057,International Kite Festival,"Held in Gujarat, the International Kite Festival attracts participants from around the world. The sky fills with colorful kites.",kite;attracts;participants;world;sky,Gujarat,community gatherings;kite flying,
gugga_naumi_058,Gugga Naumi,"Gugga Naumi is a folk festival celebrated in Haryana and surrounding regions. It is dedicated to Gugga Pir, associated with protection from snake bites.",gugga;naumi;surrounding;pir;bites,Haryana;Northern India,processions;puja,
surajkund_mela_059,Surajkund Mela,"Surajkund Mela is an international crafts fair held annually in Haryana. It highlights handicrafts, music, dance, and cuisines from different regions.",surajkund;annually;handicrafts;cuisines;exchange,Haryana,craft exhibitions;cultural shows,
rann_utsav_060,Rann Utsav,"Rann Utsav is a desert festival held in the White Rann of Kutch, Gujarat. It features folk music, dance, crafts, and desert experiences.",rann;desert;white;kutch;experiences,Gujarat;Kutch,cultural performances;handicraft fairs,
bahu_mela_061,Bahu Mela,Bahu Mela is celebrated near the Bahu Fort temple dedicated to Goddess Kali. Devotees gather to offer prayers and participate in the fair.,bahu;fort;tradition;bahu mela;mela celebrated,Jammu,fair activities;puja,
urs_062,Urs,"Urs marks the death anniversary of a Sufi saint and is observed at dargahs. Devotees participate in prayers, qawwali, and charitable acts.",urs;anniversary;sufi;saint;dargahs,Jammu And Kashmir;Pan-India,puja;qawwali,
tulip_festival_063,Tulip Festival,The Tulip Festival is held in Srinagar to celebrate the blooming of tulips. Visitors enjoy floral displays and cultural programs.,tulip;srinagar;blooming;tulips;visitors,Jammu And Kashmir;Srinagar,cultural programs;garden visits,
chhath_puja_state_064,Chhath Puja,Chhath Puja is observed at the state level with rituals dedicated to the Sun God. Devotees offer prayers near rivers and water bodies.,state;level;observed state;state level;level rituals,Jharkhand,fasting;puja,
kambala_065,Kambala,Kambala is a rural sport festival celebrated in coastal Karnataka. It involves buffalo races held in muddy fields.,kambala;rural;sport;coastal;karnataka,Karnataka,buffalo racing;village celebrations,
hampi_utsav_066,Hampi Utsav,"Hampi Utsav is a cultural festival held at the historic site of Hampi. It includes dance, music, and heritage shows.",hampi;site;shows;glory;vijayanagara,Hampi;Karnataka,cultural performances;processions,
onam_067,Onam,Onam celebrates the mythical return of King Mahabali. Homes are decorated with flower designs and cultural events are held.,cultural;onam;mythical;king;mahabali,Kerala,boat races;floral decorations,
vishu_068,Vishu,"Vishu is celebrated as the New Year in Kerala. The day begins with Vishukkani, an auspicious arrangement viewed at dawn.",vishu;begins;vishukkani;auspicious;arrangement,Kerala,temple visits;vishukkani viewing,
thiruvathira_069,Thiruvathira,"Thiruvathira is observed mainly by women in Kerala and Tamil Nadu. It includes fasting, prayers, and the Thiruvathira dance.",thiruvathira;mainly;thiruvathira observed;observed mainly;mainly women,Kerala;Tamil Nadu,fasting;traditional dance,
hemis_festival_070,Hemis Festival,Hemis Festival is celebrated at the Hemis Monastery in Ladakh. It features masked dances performed by monks.,hemis;monastery;masked;monks;hemis festival,Ladakh,masked dance;puja,
sindhu_darshan_071,Sindhu Darshan,Sindhu Darshan is a festival observed in Ladakh to honor the Indus River as a symbol of harmony and unity. People from different parts of India gather to pay tribute to the river.,river;sindhu;darshan;indus;parts,Ladakh,cultural programs;puja,
lokrang_festival_072,Lokrang Festival,"Lokrang Festival is a cultural celebration held in Madhya Pradesh that brings together folk artists from across India. It features traditional music, dance, crafts, and cuisine.",cultural;lokrang;madhya;artists;helps,Madhya Pradesh,craft exhibitions;folk performances,
khajuraho_dance_festival_073,Khajuraho Dance Festival,"The Khajuraho Dance Festival is held near the historic Khajuraho temples and features performances of classical Indian dance forms. The festival highlights the link between dance, spirituality, and heritage.",khajuraho;dance;classical;indian;link,Khajuraho;Madhya Pradesh,cultural gatherings;dance performances,
gudi_padwa_074,Gudi Padwa,Gudi Padwa is celebrated as the New Year by Maharashtrians. A decorated gudi is raised outside homes as a symbol of victory and prosperity.,gudi;new;padwa;maharashtrians;raised,Maharashtra,puja;raising gudi,
naga_panchami_075,Naga Panchami,Naga Panchami is a Hindu festival dedicated to the worship of serpent deities. Devotees offer milk and prayers to snake idols or images.,serpent;milk;images;reverence;beliefs,Karnataka;Maharashtra;Pan-India,offerings;puja,
yaoshang_076,Yaoshang,"Yaoshang is a vibrant festival celebrated in Manipur, similar to Holi. It combines sports, dance, and community celebrations.",yaoshang;manipur;similar;combines;youth,Manipur,bonfire lighting;sports events,
nongkrem_dance_festival_077,Nongkrem Dance Festival,The Nongkrem Dance Festival is celebrated by the Khasi tribe of Meghalaya. It is a thanksgiving ceremony seeking prosperity and peace.,nongkrem;khasi;meghalaya;thanksgiving;core,Meghalaya,puja;ritual dances,
chapchar_kut_078,Chapchar Kut,"Chapchar Kut is a major festival of the Mizo community celebrated after forest clearing for cultivation. It features folk dances, songs, and vibrant traditional attire.",chapchar;mizo;forest;clearing;cultivation,Mizoram,feast;folk dances,
mim_kut_079,Mim Kut,Mim Kut is a harvest festival of Mizoram associated with remembrance of ancestors. Food offerings are made in honor of the departed.,remembrance;mim;departed;mim kut;kut harvest,Mizoram,folk songs;offerings,
pawl_kut_080,Pawl Kut,Pawl Kut is celebrated in Mizoram after the completion of the harvest. It is a joyful festival marked by feasting and community activities.,pawl;completion;pawl kut;kut celebrated;celebrated mizoram,Mizoram,community celebrations;feast,
hornbill_festival_081,Hornbill Festival,"The Hornbill Festival is a major cultural event in Nagaland that brings together the traditions of various Naga tribes. It features folk dances, music, crafts, and traditional sports.",hornbill;tribes;hornbill festival;festival major;major cultural,Nagaland,folk performances;tribal exhibitions,
sekrenyi_082,Sekrenyi,"Sekrenyi is celebrated by the Angami tribe of Nagaland as a purification and renewal festival. It involves ritual bathing, feasting, and community celebrations.",sekrenyi;angami;preparation;sekrenyi celebrated;celebrated angami,Nagaland,feast;oil bath,
rath_yatra_083,Rath Yatra,Rath Yatra is a major Hindu festival associated with the Jagannath Temple in Puri. Deities are taken out in grand chariots and pulled by devotees.,rath;yatra;jagannath;puri;taken,Odisha;Puri,chariot procession;devotional singing,
raja_parba_084,Raja Parba,Raja Parba is a unique festival of Odisha that celebrates womanhood and the fertility of Mother Earth. It coincides with the onset of the monsoon.,raja;parba;odisha;womanhood;mother,Odisha,ritual rest;traditional games,
bhangra_festival_085,Bhangra,Bhangra is a vibrant folk dance festival associated with harvest celebrations in Punjab. It is performed with energetic movements and rhythmic beats.,bhangra;energetic;movements;rhythmic;beats,Punjab,folk dancing;music performances,
lohri_086,Lohri,Lohri is a popular winter festival in Punjab celebrated around a bonfire. People sing folk songs and offer harvest produce.,popular;produce;warmth;lohri popular;popular winter,Northern India;Punjab,bonfire rituals;folk singing,
gangaur_festival_087,Gangaur Festival,"Gangaur is a colorful festival of Rajasthan dedicated to Goddess Gauri, symbolizing marital happiness and devotion. Women participate in processions and prayers seeking prosperity.",gangaur;rajasthan;gauri;gangaur colorful;colorful festival,Rajasthan,processions;puja,
losar_088,Losar,"Losar is celebrated by Tibetan Buddhist communities to mark the beginning of a new year. It involves prayers, rituals, and festive gatherings.",signifies;tibetan buddhist;year involves;involves prayers;prayers rituals,Arunachal Pradesh;Ladakh;Sikkim,puja;ritual offerings,
saga_dawa_089,Saga Dawa,"Saga Dawa is a significant Buddhist festival marking the birth, enlightenment, and death of Lord Buddha. Acts of kindness and prayer are emphasized.",saga;dawa;marking;emphasized;saga dawa,Ladakh;Sikkim,charity;puja,
desert_festival_090,Desert Festival,"The Desert Festival is held in Jaisalmer and showcases Rajasthani folk music, dance, camel events, and cultural competitions. It highlights the rich traditions of desert life.",desert;jaisalmer;rajasthani;camel;competitions,Jaisalmer;Rajasthan,camel events;folk performances,
aadi_perukku_091,Aadi Perukku,"Aadi Perukku is a Tamil festival celebrated during the month of Aadi to honor water bodies such as rivers, lakes, and reservoirs. It is especially significant along the banks of the Cauvery River.",aadi;water;perukku;lakes;reservoirs,Tamil Nadu,offerings;puja,
thai_amavasai_092,Thai Amavasai,"Thai Amavasai is a significant new moon day in the Tamil month of Thai. People perform rituals in remembrance of ancestors, especially near rivers and seashores.",thai;lineage;thai amavasai;amavasai significant;significant new,Tamil Nadu,pitru tarpanam;puja,
aadi_amavasai_093,Aadi Amavasai,Aadi Amavasai is observed during the Tamil month of Aadi and is dedicated to performing rites for ancestors. Devotees gather at riverbanks and seashores for rituals.,aadi;performing;rites;riverbanks;continuity,Tamil Nadu,ancestral rituals;puja,
panguni_uthiram_094,Panguni Uthiram,Panguni Uthiram is celebrated in Tamil Nadu to mark the celestial marriages of Hindu deities. It is especially important in Murugan and Shiva temples.,panguni;uthiram;celestial;marriages;union,Tamil Nadu,special abhishekam;temple processions,
vaikasi_visakam_095,Vaikasi Visakam,"Vaikasi Visakam marks the birth star of Lord Murugan and is celebrated with devotion in Murugan temples across Tamil Nadu. The festival emphasizes courage, wisdom, and devotion.",murugan;devotion;vaikasi;visakam;star,Tamil Nadu,processions;puja,
thaipusam_096,Thaipusam,Thaipusam is a major Tamil festival dedicated to Lord Murugan. Devotees undertake vows such as Kavadi Attam and offer prayers seeking blessings.,thaipusam;undertake;vows;kavadi;attam,Tamil Nadu,kavadi procession;puja,
skanda_sashti_097,Skanda Sashti,Skanda Sashti is a six-day festival celebrating Lord Murugan’s triumph over the demon Surapadman. It concludes with the Soorasamharam ritual.,skanda;sashti;demon;surapadman;concludes,Tamil Nadu,fasting;soorasamharam enactment,
chithirai_festival_098,Chithirai Festival,"Chithirai Festival is a grand temple festival held in Madurai, depicting the divine wedding of Goddess Meenakshi and Lord Sundareshwarar. The festival showcases rich temple traditions and cultural heritage.",temple;chithirai;madurai;wedding;meenakshi,Madurai;Tamil Nadu,processions;temple ceremonies,
karthigai_deepam_099,Karthigai Deepam,Karthigai Deepam is celebrated by lighting lamps in homes and temples across Tamil Nadu. The grand Deepam lit on the Annamalai hill at Tiruvannamalai is a major highlight.,deepam;karthigai;annamalai;hill;tiruvannamalai,Tamil Nadu;Tiruvannamalai,lamp lighting;puja,
